Id,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,1stFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,PoolArea,SalePrice
1,8450,CollgCr,7,5,2003,706,856,1710,2,1,8,2,0,208500
2,9600,Veenker,6,8,1976,978,1262,1262,2,0,6,2,0,181500
3,11250,CollgCr,7,5,2001,486,920,1786,2,1,6,2,0,223500
4,9550,Crawfor,7,5,1915,216,961,1717,1,0,7,3,0,140000
5,14260,NoRidge,8,5,2000,655,1145,2198,2,1,9,3,0,250000
6,14115,Mitchel,5,5,1993,732,796,1362,1,1,5,2,0,143000
7,10084,Somerst,8,5,2004,1369,1694,1694,2,0,7,2,0,307000
8,10382,NWAmes,7,6,1973,859,1107,2090,2,1,7,2,0,200000
9,6120,OldTown,7,5,1931,0,1022,1774,2,0,8,2,0,129900
10,7420,BrkSide,5,6,1939,851,1077,1077,1,0,5,1,0,118000
11,11200,Sawyer,5,5,1965,906,1040,1040,1,0,5,1,0,129500
12,11924,NridgHt,9,5,2005,998,1182,2324,3,0,11,3,0,345000
13,12968,Sawyer,5,6,1962,737,912,912,1,0,4,1,0,144000
14,10652,CollgCr,7,5,2006,0,1494,1494,2,0,7,3,0,279500
15,10920,NAmes,6,5,1960,733,1253,1253,1,1,5,1,0,157000
16,6120,BrkSide,7,8,1929,0,854,854,1,0,5,2,0,132000
17,11241,NAmes,6,7,1970,578,1004,1004,1,0,5,2,0,149000
18,10791,Sawyer,4,5,1967,0,1296,1296,2,0,6,2,0,90000
19,13695,SawyerW,5,5,2004,646,1114,1114,1,1,6,2,0,159000
20,7560,NAmes,5,6,1958,504,1339,1339,1,0,6,1,0,139000
21,14215,NridgHt,8,5,2005,0,1158,2376,3,1,9,3,0,325300
22,7449,IDOTRR,7,7,1930,0,1108,1108,1,0,6,1,0,139400
23,9742,CollgCr,8,5,2002,0,1795,1795,2,0,7,2,0,230000
24,4224,MeadowV,5,7,1976,840,1060,1060,1,0,6,2,0,129900
25,8246,Sawyer,5,8,1968,188,1060,1060,1,0,6,1,0,154000
26,14230,NridgHt,8,5,2007,0,1600,1600,2,0,7,3,0,256300
27,7200,NAmes,5,7,1951,234,900,900,1,0,5,2,0,134800
28,11478,NridgHt,8,5,2007,1218,1704,1704,2,0,7,3,0,306000
29,16321,NAmes,5,6,1957,1277,1600,1600,1,0,6,1,0,207500
30,6324,BrkSide,4,6,1927,0,520,520,1,0,4,1,0,68500
31,8500,IDOTRR,4,4,1920,0,649,1317,1,0,6,1,0,40000
32,8544,Sawyer,5,6,1966,0,1228,1228,1,1,6,1,0,149350
33,11049,CollgCr,8,5,2007,0,1234,1234,2,0,7,2,0,179900
34,10552,NAmes,5,5,1959,1018,1700,1700,1,1,6,2,0,165500
35,7313,NridgHt,9,5,2005,1153,1561,1561,2,0,6,2,0,277500
36,13418,NridgHt,8,5,2004,0,1132,2452,3,1,9,3,0,309000
37,10859,CollgCr,5,5,1994,0,1097,1097,1,1,6,2,0,145000
38,8532,NAmes,5,6,1954,1213,1297,1297,1,0,5,2,0,153000
39,7922,NAmes,5,7,1953,731,1057,1057,1,0,5,1,0,109000
40,6040,Edwards,4,5,1955,0,1152,1152,2,0,6,0,0,82000
